pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8sit	M	N	0	B	protein	NA	spike protein s1	IMMUNE SYSTEM	03/13/24	Crystal structure of SARS-CoV-2 spike receptor-binding domain in complex with broadly neutralizing antibody CC84.24 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.91	X-RAY DIFFRACTION	0.309	0.261	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
8sit	O	P	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM	03/13/24	Crystal structure of SARS-CoV-2 spike receptor-binding domain in complex with broadly neutralizing antibody CC84.24 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.91	X-RAY DIFFRACTION	0.309	0.261	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
8sit	Q	S	0	D	protein	NA	spike protein s1	IMMUNE SYSTEM	03/13/24	Crystal structure of SARS-CoV-2 spike receptor-binding domain in complex with broadly neutralizing antibody CC84.24 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.91	X-RAY DIFFRACTION	0.309	0.261	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
8u4q	H	L	0	R	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	03/13/24	Structure of REGN7663 Fab-bound CXCR4/Gi complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.36	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4r	H	L	0	R	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	03/13/24	Structure of REGN7663-Fab bound CXCR4	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4s	H	L	0	R	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	03/13/24	Structure of trimeric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4s	B	A	0	C	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	03/13/24	Structure of trimeric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4s	F	E	0	G	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	03/13/24	Structure of trimeric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4t	H	L	0	R	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	01/08/09	Structure of tetrameric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.38	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4t	G	F	0	I	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	01/08/09	Structure of tetrameric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.38	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4t	P	O	0	Q	protein	NA	c-x-c chemokine receptor type 4	SIGNALING PROTEIN/IMMUNE SYSTEM	01/08/09	Structure of tetrameric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.38	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8u4t	Z	Y	0	A	protein	NA	unknown	SIGNALING PROTEIN/IMMUNE SYSTEM	01/08/09	Structure of tetrameric CXCR4 in complex with REGN7663 Fab	Homo sapiens	homo sapiens	homo sapiens		Saotome, K., McGoldrick, L.L., Franklin, M.C.	3.38	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
8smk	B	C	0	A	protein	NA	protein-arginine deiminase type-4	IMMUNE SYSTEM	03/06/24	hPAD4 bound to Activating Fab hA362	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Maker, A., Verba, K.A.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8smk	E	F	0	D	protein	NA	protein-arginine deiminase type-4	IMMUNE SYSTEM	03/06/24	hPAD4 bound to Activating Fab hA362	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Maker, A., Verba, K.A.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8sml	C	B	0	A	protein	NA	protein-arginine deiminase type-4	HYDROLASE/IMMUNE SYSTEM	03/06/24	hPAD4 bound to inhibitory Fab hI365	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Maker, A., Verba, K.A.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8sml	F	E	0	D	protein	NA	protein-arginine deiminase type-4	HYDROLASE/IMMUNE SYSTEM	03/06/24	hPAD4 bound to inhibitory Fab hI365	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Maker, A., Verba, K.A.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8x79	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short,gnas complex locus,gnas complex locus  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	03/06/24	MRE-269 bound Prostacyclin Receptor G protein complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Wang, J.J., Jin, S., Zhang, H., Xu, Y., Hu, W., Jiang, Y., Chen, C., Wang, D.W., Xu, H.E., Wu, C.	2.41	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8x7a	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short,gnas complex locus  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	03/06/24	Treprostinil bound Prostacyclin Receptor G protein complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Wang, J.J., Jin, S., Zhang, H., Xu, Y., Hu, W., Jiang, Y., Chen, C., Wang, D.W., Xu, H.E., Wu, C.	2.56	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8xe9	A	B	0	C	protein	NA	spike protein s2'	VIRAL PROTEIN/IMMUNE SYSTEM	03/06/24	XBB.1.5 RBD in complex with BD55-1205	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Feng, L.L.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8cma	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/28/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-35 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.29	X-RAY DIFFRACTION	0.268	0.231	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8gat	M	N	0	A	protein	NA	vasodilator-stimulated phosphoprotein, neuraminidasechimera 	VIRAL PROTEIN/IMMUNE SYSTEM	02/28/24	Structure of human NDS.1 Fab and 1G01 Fab in complex with influenza virus neuraminidase from A/Indiana/10/2011 (H3N2v), based on consensus cryo-EM map with only Fab 1G01 resolved	Homo sapiens; Influenza A virus (A/Indiana/10/2011(H3N2))	homo sapiens	homo sapiens	homo sapiens, influenza a virus(a/indiana/10/2011(h3n2)) 	Tsybovsky, Y., Lederhofer, J., Kwong, P.D., Kanekiyo, M.	3.0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8gau	H	L	0	A	protein	NA	vasodilator-stimulated phosphoprotein, neuraminidasechimera 	VIRAL PROTEIN/IMMUNE SYSTEM	02/28/24	Structure of human NDS.1 Fab and 1G01 Fab in complex with influenza virus neuraminidase from A/Indiana/10/2011 (H3N2v)	Homo sapiens; Influenza A virus (A/Indiana/10/2011(H3N2))	homo sapiens	homo sapiens	homo sapiens, influenza a virus(a/indiana/10/2011(h3n2)) 	Tsybovsky, Y., Lederhofer, J., Kwong, P.D., Kanekiyo, M.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8gau	M	N	0	A	protein	NA	vasodilator-stimulated phosphoprotein, neuraminidasechimera 	VIRAL PROTEIN/IMMUNE SYSTEM	02/28/24	Structure of human NDS.1 Fab and 1G01 Fab in complex with influenza virus neuraminidase from A/Indiana/10/2011 (H3N2v)	Homo sapiens; Influenza A virus (A/Indiana/10/2011(H3N2))	homo sapiens	homo sapiens	homo sapiens, influenza a virus(a/indiana/10/2011(h3n2)) 	Tsybovsky, Y., Lederhofer, J., Kwong, P.D., Kanekiyo, M.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8gav	H	L	0	A	protein	NA	neuraminidase	VIRAL PROTEIN/IMMUNE SYSTEM	02/28/24	Structure of human NDS.3 Fab in complex with influenza virus neuraminidase from A/Darwin/09/2021 (H3N2)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Tsybovsky, Y., Lederhofer, J., Kwong, P.D., Kanekiyo, M.	2.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
8jel	C	D	0	J	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form I	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.45	X-RAY DIFFRACTION	0.249	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jel	A	B	0	E	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form I	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.45	X-RAY DIFFRACTION	0.249	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jel	F	G	0	H	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form I	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.45	X-RAY DIFFRACTION	0.249	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jel	I	K	0	L	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form I	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.45	X-RAY DIFFRACTION	0.249	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jen	A	B	0	I	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form II	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.71	X-RAY DIFFRACTION	0.289	0.218	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jen	C	D	0	J	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form II	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.71	X-RAY DIFFRACTION	0.289	0.218	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jen	E	F	0	M	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form II	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.71	X-RAY DIFFRACTION	0.289	0.218	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jen	G	H	0	P	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Ociperlimab, crystal form II	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.71	X-RAY DIFFRACTION	0.289	0.218	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8jeo	B	C	0	A	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Tiragolumab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.06	X-RAY DIFFRACTION	0.206	0.172	False	True	IGHV6	IGKV4	Kappa	None	None	None	None	None
8jeo	E	F	0	D	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	02/28/24	Crystal structure of TIGIT in complexed with Tiragolumab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, J., Zhang, X.X., Song, J.	2.06	X-RAY DIFFRACTION	0.206	0.172	False	True	IGHV6	IGKV4	Kappa	None	None	None	None	None
8cin	E	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	02/21/24	BA.4/5-5 FAB IN COMPLEX WITH SARS-COV-2 BA.4 SPIKE GLYCOPROTEIN	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	2.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
8cin	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	02/21/24	BA.4/5-5 FAB IN COMPLEX WITH SARS-COV-2 BA.4 SPIKE GLYCOPROTEIN	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	2.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
8cin	J	K	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	02/21/24	BA.4/5-5 FAB IN COMPLEX WITH SARS-COV-2 BA.4 SPIKE GLYCOPROTEIN	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	2.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
8ekd	E	F	0	G	protein	NA	spike protein s2'	IMMUNE SYSTEM	02/21/24	Cryo-EM map of SARS-CoV-2 Omicron BA.2 spike in complex with LLNL-199	Homo sapiens; Severe acute respiratory syndrome coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus	Binshtein, E., Crowe, J.E.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
8pwh	B	A	0	E	protein	NA	receptor tyrosine-protein kinase erbb-2	STRUCTURAL PROTEIN	02/21/24	Atomic structure and conformational variability of the HER2-Trastuzumab-Pertuzumab complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Ruedas, R., Vuillemot, R., Tubiana, T., Winter, J.M., Pieri, L., Arteni, A.A., Samson, C., Jonic, J., Mathieu, M., Bressanelli, S.	3.17	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8pwh	D	C	0	E	protein	NA	receptor tyrosine-protein kinase erbb-2	STRUCTURAL PROTEIN	02/21/24	Atomic structure and conformational variability of the HER2-Trastuzumab-Pertuzumab complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Ruedas, R., Vuillemot, R., Tubiana, T., Winter, J.M., Pieri, L., Arteni, A.A., Samson, C., Jonic, J., Mathieu, M., Bressanelli, S.	3.17	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8cbd	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8cbd	E	F	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8cbd	G	I	0	Y	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8cbd	J	K	0	X	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8cbd	A	B	0	X	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8cbd	C	D	0	Y	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-1 and EY6A Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.52	X-RAY DIFFRACTION	0.266	0.218	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8cbe	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-2 and Beta-49 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.16	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8cbe	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with BA.4/5-2 and Beta-49 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	3.16	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8cbf	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with Omi-42 and Beta-49 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.33	X-RAY DIFFRACTION	0.255	0.215	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8cbf	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/07/24	SARS-CoV-2 Delta-RBD complexed with Omi-42 and Beta-49 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.33	X-RAY DIFFRACTION	0.255	0.215	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
8k8j	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	02/14/24	Cannabinoid Receptor 1 bound to Fenofibrate coupling MiniGsq and Nb35 Complex	Escherichia coli; Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Tang, W.Q., Wang, T.X., Li, F.H., Wang, J.Y.	2.88	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8kfx	S	S	0	A | B | C	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2 	SIGNALING PROTEIN	02/07/24	Gi bound CCR8 complex with nonpeptide agonist LMD-009	Homo sapiens; synthetic construct	homo sapiens		homo sapiens | homo sapiens | homo sapiens	Jiang, S., Lin, X., Wu, L.J., Xu, F.	2.96	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8kfy	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	02/07/24	Gi bound CCR8 complex with nonpeptide agonist ZK 756326	Homo sapiens; synthetic construct	homo sapiens		homo sapiens | homo sapiens	Jiang, S., Lin, X., Wu, L.J., Xu, F.	3.06	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8kfz	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	02/07/24	Gi bound CCR8 in ligand free state	Homo sapiens; synthetic construct	homo sapiens		homo sapiens | homo sapiens	Jiang, S., Lin, X., Wu, L.J., Xu, F.	3.3	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8sxj	C	D	0	A	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/Immune System	01/08/09	CH505 Disulfide Stapled SOSIP Bound to CH235.12 Fab	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Henderson, R.	4.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
8sxj	G	H	0	E	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/Immune System	01/08/09	CH505 Disulfide Stapled SOSIP Bound to CH235.12 Fab	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Henderson, R.	4.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
8sxj	K	L	0	I	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/Immune System	01/08/09	CH505 Disulfide Stapled SOSIP Bound to CH235.12 Fab	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Henderson, R.	4.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	unknown	unknown	None	None	None	None	None
8i5l	D	D	0	A	protein	NA	capsid protein	VIRAL PROTEIN	01/31/24	Crystal structure of P domain from norovirus GI.4 capsid protein in complex with broad specificity antibody single-chain Fv fragment CV-2F5.	Homo sapiens; Norovirus GI.4	homo sapiens		norovirus gi.4	Kato-Murayama, M., Murayama, K., Shirouzu, M.	2.7	X-RAY DIFFRACTION	0.259	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
8i5l	E	E	0	B | C	protein | protein	NA | NA	capsid protein | capsid protein	VIRAL PROTEIN	01/31/24	Crystal structure of P domain from norovirus GI.4 capsid protein in complex with broad specificity antibody single-chain Fv fragment CV-2F5.	Homo sapiens; Norovirus GI.4	homo sapiens		norovirus gi.4 | norovirus gi.4	Kato-Murayama, M., Murayama, K., Shirouzu, M.	2.7	X-RAY DIFFRACTION	0.259	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
8hp9	H	L	0	A	protein	NA	spike protein s2'	IMMUNE SYSTEM/VIRAL PROTEIN	01/31/24	Cryo-EM structure of SARS-CoV-2 Omicron BA.2 S-trimer in complex with fab L4.65 and L5.34	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, G.F., Liu, S.	2.75	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGKV3	Kappa	None	None	None	None	None
8hp9	M	N	0	A	protein	NA	spike protein s2'	IMMUNE SYSTEM/VIRAL PROTEIN	01/31/24	Cryo-EM structure of SARS-CoV-2 Omicron BA.2 S-trimer in complex with fab L4.65 and L5.34	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gao, G.F., Liu, S.	2.75	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
