pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	species
7e9o	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN,IMMUNE SYSTEM	03/09/22	Cryo-EM structure of the SARS-CoV-2 S-6P in complex with 35B5 Fab(3 up RBDs, state2)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X.F., Zhu, Y.Q.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
7ru4	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/Immune System	08/24/22	CC6.33 IgG in complex with SARS-CoV-2-6P-Mut7 S protein (RBD/Fv local refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Ozorowski, G., Turner, H.L., Ward, A.B.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7wsl	H	L	0	D	protein		programmed cell death protein 1	IMMUNE SYSTEM	08/24/22	PD-1 in complex with Dostarlimab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S.	1.534	X-RAY DIFFRACTION	0.178	0.161	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7s5p	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/09/22	Crystal structure of SARS-CoV-2 B.1.351 variant receptor binding domain in complex with neutralizing antibody CS23	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Wilson, I.A.	2.86	X-RAY DIFFRACTION	0.247	0.208	False	True	IGHV3	IGLV3	Lambda						SARS-CoV-2
7ru3	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/Immune System	08/24/22	CC6.33 IgG in complex with SARS-CoV-2-6P-Mut7 S protein (non-uniform refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Ozorowski, G., Turner, H.L., Ward, A.B.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7s5r	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/09/22	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibodies CV07-287 and COVA1-16	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Wilson, I.A.	2.45	X-RAY DIFFRACTION	0.238	0.207	False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
7ul0	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN/Immune System	03/08/23	Crystal structure of SARS-CoV-2 RBD in complex with the ridge-binding nAb EH8 isolated from a nonvaccinated pediatric patient	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Chen, Y., Tolbert, W.D., Bai, X., Pazgier, M.	2.49	X-RAY DIFFRACTION	0.256	0.225	False	True	IGHV1	IGLV2	Lambda						SARS-CoV-2
7x63	H	L	0	R	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/08/23	SARS-CoV-2-Beta-RBD and BD-236-GWP/P-VK antibody complex	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Shi, R., Wang, Y., Wu, Z., Han, X., Yan, J.	2.24	X-RAY DIFFRACTION	0.224	0.193	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7x66	H	L	0	R	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/08/23	SARS-CoV-2-Omicron-RBD and BD-236-GWP/P-VK antibody complex	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Shi, R., Wang, Y., Wu, Z., Han, X., Yan, J.	2.4	X-RAY DIFFRACTION	0.238	0.19	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8ffe	H	L	0	A	protein		low-density lipoprotein receptor-related protein 6	SIGNALING PROTEIN/Immune System	03/08/23	Crystal structure of LRP6 E1E2 domains bound to YW210.09 Fab and engineered XWnt8 peptide	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Jude, K.M., Tsutsumi, N., Waghray, D., Garcia, K.C.	1.72	X-RAY DIFFRACTION	0.231	0.185	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7u0q	G	F	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/08/09	SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-02	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Patel, A., Ortlund, E.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7u0x	F	G	0	C	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/01/23	SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-13	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Patel, A., Ortlund, E.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV6	Lambda						SARS-CoV-2
7x2h	A	B	0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/01/23	Crystal structure of SARS-CoV-2 spike receptor-binding domain bound with 6-2C Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Wang, Z.	2.1	X-RAY DIFFRACTION	0.269	0.228	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7xcz	D	E	0	A	protein		spike glycoprotein	VIRAL PROTEIN	03/01/23	Cryo-EM structure of SARS-CoV-2 Delta RBD in complex with BA7054 and BA7125 fab (local refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, Z., Liu, S.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7xda	B	C	0	A	protein		spike glycoprotein	VIRAL PROTEIN	03/01/23	Cryo-EM structure of SARS-CoV-2 Delta RBD in complex with BA7208 and BA7125 fab (local refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, Z., Liu, S., Liu, S.	0.0	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV3	Kappa						SARS-CoV-2
7xdb	D	E	0	A	protein		spike glycoprotein	VIRAL PROTEIN	03/01/23	Cryo-EM structure of SARS-CoV-2 Omicron Spike protein in complex with BA7208 fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, Z., Liu, S., Gao, Y.Z.	0.0	ELECTRON MICROSCOPY			False	True	IGHV5	IGKV1	Kappa						SARS-CoV-2
7xdk	F	G	0	A	protein		spike glycoprotein	VIRAL PROTEIN	03/01/23	Cryo-EM structure of SARS-CoV-2 Delta Spike protein in complex with BA7054 and BA7125 fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, Z., Lui, S., Gao, Y.	0.0	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV3	Kappa						SARS-CoV-2
8ath	E	F	0	B	protein		lysosome-associated membrane glycoprotein 1	PROTEIN BINDING	03/01/23	CRYSTAL STRUCTURE OF LAMP1 IN COMPLEX WITH FAB-B.	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Mathieu, M., Dupuy, A.	2.366	X-RAY DIFFRACTION	0.29	0.251	False	True	IGHV1	IGKV19	Kappa						Homo Sapiens
7wwi	E	D	0	A	protein		spike glycoprotein	VIRAL PROTEIN	02/15/23	EM structure of SARS-CoV-2 Omicron variant spike glycoprotein and 55A8	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Gao, Y., Lu, Y., Yang, H., Ji, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
7wwj	G	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN	02/15/23	EM structure of SARS-CoV-2 Omicron variant spike glycoprotein and 55A8	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Gao, Y., Lu, Y., Yang, H., Ji, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
7wwk	G	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN	02/15/23	EM structure of SARS-CoV-2 Omicron variant spike glycoprotein and 55A8	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Gao, Y., Lu, Y., Yang, H., Ji, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
7z2m	B	A	0	K	protein		interleukin-17a	IMMUNE SYSTEM	02/08/23	Crystal Structure of the 11.003 Fab in complex with human IL-17A	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Rondeau, J.M., Lehmann, S.	1.899	X-RAY DIFFRACTION	0.227	0.201	False	True	IGHV5	IGKV3	Kappa						Homo Sapiens
7x8t	C	B	0	A	protein		frizzled-10	SIGNALING PROTEIN	02/01/23	Frizzled 10 CRD in complex with hB9L9.3 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Ge, Q., Wang, Q.	2.51	X-RAY DIFFRACTION	0.215	0.176	False	True	IGHV3	IGLV3	Lambda						Homo Sapiens
7yck	C	D	0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	Crystal structure of SARS-CoV-2 Spike RBD in complex with FP-12A Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Nguyen, V.H.T., Chen, X.	2.6	X-RAY DIFFRACTION	0.264	0.229	False	True	IGHV3	IGLV6	Lambda						SARS-CoV-2
7ycl	A	B	0	R	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	Crystal structure of SARS-CoV-2 Spike RBD in complex with IS-9A Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Mohapatra, A., Chen, X.	2.13	X-RAY DIFFRACTION	0.218	0.174	False	True	IGHV5	IGKV1	Kappa						SARS-CoV-2
7ycn	K	L	0	J	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	Crystal structure of SARS-CoV-2 Spike RBD in complex with IY-2A Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Mohapatra, A., Chen, X.	2.85	X-RAY DIFFRACTION	0.25	0.211	False	True	IGHV4	IGLV6	Lambda						SARS-CoV-2
8hhx	F	G	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	SARS-CoV-2 Delta Spike in complex with FP-12A	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Chen, X., Wu, Y.-M.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV6	Lambda						SARS-CoV-2
8hhy	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	SARS-CoV-2 Delta Spike in complex with IS-9A	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Mohapatra, A., Wu, Y.-M.	0.0	ELECTRON MICROSCOPY			False	True	IGHV5	IGKV1	Kappa						SARS-CoV-2
8hhz	E	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	02/01/23	SARS-CoV-2 Omicron BA.1 Spike in complex with IY-2A	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Chen, X., Mohapatra, A., Wu, Y.-M.	0.0	ELECTRON MICROSCOPY			False	True	IGHV4	IGLV6	Lambda						SARS-CoV-2
7yxu	H	L	0	A	protein		tumor necrosis factor receptor superfamily member 9	IMMUNE SYSTEM	01/25/23	Crystal structure of agonistic antibody 1618 fab domain bound to human 4-1BB.	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Hakansson, M., Rose, N., Petersson, J., Enell Smith, K., Thorolfsson, M., von Schantz, L.	2.31	X-RAY DIFFRACTION	0.252	0.205	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
7wn8	H	L	0	A	protein		leukocyte surface antigen cd47	ANTITUMOR PROTEIN	01/25/23	Crystal structure of antibody (BC31M5) binds to CD47	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Li, Y., Wang, W., Sui, J., Zhang, S.	2.8	X-RAY DIFFRACTION	0.276	0.243	False	True	IGHV1	IGKV3	Kappa						Homo Sapiens
8d48	H	L	0	A	protein		spike glycoprotein	ANTIVIRAL PROTEIN	01/25/23	sd1.040 Fab in complex with SARS-CoV-2 Spike 2P glycoprotein	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Abernathy, M.E., Barnes, C.O.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV4	Kappa						SARS-CoV-2
8dm3	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	Cryo-EM structure of SARS-CoV-2 Omicron BA.2 spike protein in complex with Fab 4A8	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhu, X., Saville, J.W., Mannar, D., Berezuk, A.M., Cholak, S., Tuttle, K.S., Vahdatihassani, F., Subramaniam, S.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV2	Kappa						SARS-CoV-2
8dm4	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	Cryo-EM structure of SARS-CoV-2 Omicron BA.2 spike protein in complex with Fab 4A8 (focused refinement of NTD and 4A8)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhu, X., Saville, J.W., Mannar, D., Berezuk, A.M., Cholak, S., Tuttle, K.S., Vahdatihassani, F., Subramaniam, S.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV2	Kappa						SARS-CoV-2
8hc2	H	L	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with 1 YB9-258 Fab (1 RBD up)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8hc3	H	L	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with 2 YB9-258 Fabs (2 RBD up)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8hc4	D	E	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 wildtype spike trimer (6P) in complex with 3 YB9-258 Fabs and 3 R1-32 Fabs (3 RBD up)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGLV1	Lambda						SARS-CoV-2
8hc5	H	L	0	C	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 wildtype S1 in complex with YB9-258 Fab and R1-32 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8hc6	H	L	0	C	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with YB9-258 Fab, focused refinement of Fab region	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8hc7	H	L	0	C	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) complex with YB9-258 Fab, focused refinement of RBD-dimer region	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8hc8	H	L	0	C	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with YB13-292 Fab, focused refinement of Fab region	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
8hc9	D	E	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with 3 YB13-292 Fabs (3 RBD down)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
8hca	D	E	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with 3 YB13-292 Fabs (1 RBD up)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
8hcb	D	E	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/25/23	SARS-CoV-2 Omicron BA.1 spike trimer (6P) in complex with 3 YB13-292 Fabs (2 RBD up)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						SARS-CoV-2
7wh8	B	A	0	C	protein		spike glycoprotein	IMMUNE SYSTEM/VIRAL PROTEIN	01/18/23	SARS-CoV-2 spike in complex with the ZB8 neutralizing antibody Fab (focused refinement on Fab-RBD)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zeng, J.W.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7whb	D	E	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/18/23	SARS-CoV-2 spike in complex with the ZB8 neutralizing antibody Fab (3U)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zeng, J.W., Ge, J.W., Wang, X.Q.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7whd	D	E	0	C	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/18/23	SARS-CoV-2 spike in complex with the ZB8 neutralizing antibody Fab (2u1d)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zeng, J.W., Wang, X.W., Ge, J.W., Wang, Z.Y.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7x25	A	C	0	G	protein		spike glycoprotein	VIRAL PROTEIN	01/18/23	MERS-CoV spike complex with S41 neutralizing antibody Fab Class4 (2u1d RBD with 3Fab)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zeng, J.W., Zhang, S.Y., Zhou, H.X., Wang, X.W.	2.49	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
8dxt	H	L	0	R	protein		spike protein s1	ANTIVIRAL PROTEIN	01/18/23	Fab arm of antibody GAR12 bound to the receptor binding domain of SARS-CoV-2.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Langley, D.B., Christ, D., Henry, J.Y.	2.25	X-RAY DIFFRACTION	0.254	0.211	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
8dxu	H	L	0	R	protein		spike protein s1	ANTIVIRAL PROTEIN	01/18/23	Fab arms of antibodies GAR03 and 10G4 bound to the receptor binding domain of SARS-CoV-2 in a 1:1:1 complex.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Langley, D.B., Christ, D.	2.728	X-RAY DIFFRACTION	0.269	0.223	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7ox1	A	B	0	G	protein		interleukin-9	CYTOKINE	12/28/22	Fab 7D6: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	2.49	X-RAY DIFFRACTION	0.262	0.209	False	True	IGHV4	IGLV8	Lambda						Homo Sapiens
7ox3	A	B	0	C	protein		interleukin-9	CYTOKINE	12/28/22	Fab 6D3: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	1.7	X-RAY DIFFRACTION	0.211	0.176	False	True	IGHV4	IGLV3	Lambda						Homo Sapiens
7wch	D	E	0	A	protein		surface glycoprotein	VIRAL PROTEIN	12/28/22	CryoEM structure of the SARS-CoV-2 S6P(B.1.617.2) in complex with SWA9 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Du, S., Xiao, J.Y.	3.19	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7wck	A	B	0	R	protein		surface glycoprotein	VIRAL PROTEIN	12/28/22	Local CryoEM structure of the SARS-CoV-2 S6P(B.1.617.2) in complex with SWA9 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Du, S., Xiao, J.Y.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
7wcp	D	E	0	B	protein		surface glycoprotein	VIRAL PROTEIN	12/28/22	CryoEM structure of the SARS-CoV-2 S6P(B.1.617.2) in complex with SWC11 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Du, S., Xiao, J.Y.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7wcu	A	B	0	R	protein		surface glycoprotein	VIRAL PROTEIN	12/28/22	Local CryoEM structure of the SARS-CoV-2 S6P(B.1.617.2) in complex with SWC11 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Du, S., Xiao, J.Y.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7ykj	A	D	0	C	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/28/22	Omicron RBDs bound with P3E6 Fab (one up and one down)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Tang, B., Dang, S.	0.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						SARS-CoV-2
7t72	H	L	0	A	protein		spike protein s1	VIRAL PROTEIN	12/21/22	Epitope-based selection of SARS-CoV-2 neutralizing antibodies from convalescent patients	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Langley, D.B., Christ, D., Rouet, R.	3.177	X-RAY DIFFRACTION	0.308	0.237	False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
7wti	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/21/22	SARS-CoV-2 Omicron variant spike in complex with Fab XGv264	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Fu, W.	0.0	ELECTRON MICROSCOPY			False	True	IGHV2	IGLV2	Lambda						SARS-CoV-2
7wtf	H	L	0	B	protein		spike glycoprotein	IMMUNE SYSTEM/VIRAL PROTEIN	12/14/22	SARS-CoV-2 Omicron variant spike in complex with Fab XGv051	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Fu, W.	0.0	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
